Gene,099535T,090608T,098699T,11770T,81023T,81032T,85421T,86279T,86960T,87823T,88659T,88674T,88724T,89290T,96484T
ACVRL1,-0.7199273848355163,-0.8998404476685261,0.17388217179172996,4.502992470184612,1.2841646697097506,1.0714812408217476,1.0250855086609174,2.0895930618644907,1.6488013424790868,3.1169884809773665,-0.24762133391331007,2.0839247521546738,3.248384547577588,1.1189576791895526,1.1367754348323327
ADAP2,1.6686138597334361,1.5711622500125353,1.2728772028700925,3.0423098875371264,2.087839590052434,1.682083327053655,1.8403866909503352,2.2599503567604735,2.5586423431851903,2.9440600585873034,1.1609330923724162,3.4240218020797597,2.7711989204200793,1.3234277180609324,0.6744787303322076
APLN,-1.7115067728655993,-1.4845983810457108,1.7533135719979709,0.9856534353015244,1.0002668738974902,0.208866810369236,0.023411502722324597,-1.2854599278180707,1.6980628632791392,1.3333035041288148,3.565511878862429,-1.3631633551147035,-0.613555428728114,0.9196375539878096,-0.9163468257586661
BANK1,-0.1259679537269831,-3.380546796407678,-0.009596917172776907,-1.022788961107802,-2.2969843758304753,-5.688848475299698,-0.029489394548604716,-4.0460556899442395,-4.44079288712723,-0.850303599229394,-4.560819871072666,0.2700743844647992,-1.3590866759181792,-5.0772358431828035,-2.5157277907712503
BCL6B,0.1558269340885659,-0.4267922463294374,0.2336917617807656,0.9811219897943106,1.342463720836709,1.7110587283265368,0.27543621524231326,1.7839301410387767,2.0821984434968783,1.8954616192829798,1.2545517169081268,-0.0764400380292924,1.5397394953300902,0.6448807164629644,-0.7322005559010967
BMP6,2.7265696776099158,-2.009547539003549,-1.0096956785816242,-2.5808624222828787,2.7679111133523864,1.2171066080833919,-1.5781632565480832,1.3879139243859477,-1.0019778473410104,-0.15957624565534761,-5.174392146306845,-2.0428312650874276,0.29784877174585583,2.8521826591181654,0.21324150614401288
BMX,-4.2383266555691135,-5.140746651391,-4.372433501868483,-2.6291527636400365,-2.3199385482026247,-2.9211388085201384,-2.5989025881111787,-1.8429666410667358,-3.3511024114361656,-1.94657165310048,-5.8561813461049805,-4.045114636884542,-3.6980125510902107,-3.8103932610352116,-5.083077660309408
CA4,1.4802754639173301,-2.459996544337228,-5.306738851005663,-4.935077426574624,-4.5130801379967025,-3.3993222384694013,-4.247280177160634,2.968107345247427,-8.426506339785812,-6.291662652029693,-0.35652796449384727,-3.375412813069142,-3.0266047316585647,-6.090171300857198,-0.6928769504598218
CD160,-7.4642432308701245,-5.140746651391,-6.946203341089881,-5.547722551982177,-5.429519970467391,-7.284359757899759,-6.0635756098000515,-7.902982151521455,-8.426506339785812,-6.291662652029693,-6.093113097695514,-6.464536237594876,-5.229661109631014,-6.090171300857198,-7.404646364666686
CD19,-7.4642432308701245,-3.8321919907902893,-3.6843178486620753,-0.6541517531340808,-2.8927781529282854,-5.953760970712988,-0.24996639956265265,-3.54356305975621,-6.094078605390286,-0.7903944185786279,-3.8745393307833247,-1.1455797880473626,-1.5892204001075378,-4.346482796705549,-2.9190749683079895
