,Index,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,2-gene group
0,099535T,-1.42699546,0.60250439,-1.410051532,-5.57964889,-4.023797352,0.894128485,-4.603192241,-0.688563335,-0.844132398,3.848851485,1
1,090608T,-1.968335565,-3.869176645,-2.443212423,-2.79407938,-3.543216894,-0.668756794,-0.923835074,-1.428337592,-1.048493627,3.715706575,1
2,098699T,-1.326632662,-2.017557241,-1.932281575,-5.641568108,-3.101251034,1.919509988,-2.601403612,-0.994589002,-0.256033295,2.332818489,1
3,11770T,0.584820563,2.317315647,1.029266697,-3.216827493,-0.872538145,3.224010508,-0.241336113,-1.492074135,-0.215626267,4.96724797,0
4,81023T,-0.320556998,-0.171253072,-0.508870269,-2.948952965,-3.696636708,2.824989551,-2.882680175,0.433103522,0.903368836,5.742411161,1
5,81032T,-3.13564684,-3.464572868,-4.92305308,-6.870987173,-5.079985657,2.06885725,-4.108050786,-1.206478564,0.696687483,5.370954372,1
6,85421T,0.319951254,3.325127328,0.546989051,-3.888785745,-0.394508544,3.007556926,0.618769356,0.483162328,0.184673273,4.104365406,0
7,86279T,-1.311128348,-0.588287413,-2.732341795,-6.248158072,-4.229025262,2.323761366,-3.342055464,-1.221771137,1.420922497,6.245848894,1
8,86960T,-1.853704825,-1.869200889,-1.07772304,-3.981176617,-5.147891643,2.441900437,-2.416266614,0.026038423,0.87661138,4.718453546,1
9,87823T,-0.229979754,1.306046374,-0.803410538,-4.552892411,-1.778983303,3.444708521,1.396916732,-1.097310354,0.927883279,7.79906309,1
10,88659T,-2.233922589,2.632863786,-1.474864161,-4.854888052,-4.762467523,1.230929272,-3.025778506,-0.010193888,-1.448617999,1.041240353,1
11,88674T,0.325395659,1.546551258,-0.242134929,-4.809503269,-2.271488274,4.314189459,1.622103395,0.680461735,-0.245972091,4.160561864,1
12,88724T,-0.351050533,0.684818738,-0.385555893,-3.676873326,-1.408248509,3.548543276,-0.014193655,0.399890139,0.552337887,4.054983871,0
13,89290T,-1.489450737,-0.301648151,-1.84289169,-4.710058917,-3.474606046,1.812764967,-0.938479972,-1.02609219,0.569078994,3.765225951,1
14,96484T,-1.547567813,4.16651461,-3.943066157,-6.147320958,-3.017340866,1.123366443,-2.850373535,0.333630809,-0.872570675,4.178688414,1
