,PC1,PC2,Ward_D,Index
0,-6.1774337187217645,-15.659249783246477,2,TCGA-ZU-A8S4-01A
1,3.805115059180405,-11.609169514200646,1,TCGA-W5-AA30-01A
2,-27.296772469380873,1.1856177646208121,2,TCGA-W5-AA39-01A
3,-16.341357511484617,-12.122724678315631,2,TCGA-W5-AA34-01A
4,-27.799564296806647,-8.840872790144267,2,TCGA-ZH-A8Y5-01A
5,25.653954870448672,5.626907405978101,1,TCGA-W5-AA2H-01A
6,-13.88332917370085,-16.76788756973177,2,TCGA-ZH-A8Y2-01A
7,7.557402556897577,-7.028597508098644,1,TCGA-3X-AAVE-01A
8,-26.547201134076,-7.583678794969748,2,TCGA-W5-AA38-01A
9,-26.184349455287485,-9.182484537521983,2,TCGA-ZH-A8Y6-01A
10,-4.125646813208485,-7.866438383892083,2,TCGA-W5-AA2U-01A
11,-12.723607509746461,-7.633276443267899,2,TCGA-4G-AAZT-01A
12,-12.201056687426673,-19.2043089190876,2,TCGA-W5-AA31-01A
13,-14.795755625870092,-2.8336944570351394,2,TCGA-W5-AA2W-01A
14,-20.65766003095187,-6.701619185157154,2,TCGA-W5-AA2O-01A
15,11.621202324863381,-10.901539308494415,1,TCGA-3X-AAV9-01A
16,6.3925251581594855,-10.018115151226537,1,TCGA-W5-AA33-01A
17,-2.172957342189056,-6.062917856170132,2,TCGA-3X-AAVC-01A
18,-18.046230622599413,0.7679051466434242,2,TCGA-4G-AAZO-01A
19,-18.243218442818815,-6.295710085797619,2,TCGA-W5-AA2X-01A
20,-23.89907107028405,-9.853589477380481,2,TCGA-W5-AA2T-01A
21,-16.08245700954459,-13.309626612645449,2,TCGA-ZD-A8I3-01A
22,-19.48675543982104,-8.45332730194411,2,TCGA-ZH-A8Y4-01A
23,-18.60422126016902,-14.295240373167234,2,TCGA-ZH-A8Y1-01A
24,-27.470781632787972,9.837672254264668,2,TCGA-W5-AA2I-01A
25,-1.7519310399391428,-6.564386752104621,2,TCGA-3X-AAVA-01A
26,-20.1836183861433,-10.76645130308754,2,TCGA-W5-AA36-01A
27,-4.513407892779332,-14.701947324672215,2,TCGA-3X-AAVB-01A
28,-11.10741824407728,-12.128972357305019,2,TCGA-W6-AA0S-01A
29,5.596681066930325,-7.06604368285236,1,TCGA-ZH-A8Y8-01A
30,-14.465880936338836,-3.340098876522195,2,TCGA-YR-A95A-01A
31,-13.01557734495139,-10.928649123171416,2,TCGA-W5-AA2G-01A
32,-15.33924336168636,-4.905025297352168,2,TCGA-W5-AA2Q-01A
33,-11.649253220241471,-15.208258912709727,2,TCGA-W5-AA2Z-01A
34,8.176707913100225,-5.557628453934394,1,TCGA-WD-A7RX-01A
35,5.682599805096554,-9.64417112438553,1,TCGA-W5-AA2R-01A
